	ENG_e	FR_e	eng_stem	fr_stem	ratio_similarity
1644	disguise	déguisement	disguis	déguis	77
1645	dishonourable	déshonorant	dishonour	déshonor	82
1646	disincentive	dissuasif	disincent	dissuas	38
1647	disintegrate	désintégrer	disintegr	désintegr	89
1648	disjunctive	disjonctif	disjunct	disjonct	88
1649	diskette	disquette	diskett	disquet	71
1650	dislike	Ne pas aimer	dislik	ne pas aim	12
1651	dislocate	disloquer	disloc	disloqu	77
1652	dislodge	déloger	dislodg	délog	67
1653	dismantle	démonter	dismantl	démont	57
1654	dismissible	rejetable	dismiss	rejet	0
1655	dismissive	dédaigneux	dismiss	dédaign	29
1656	disobedience	désobéissance	disobedi	désobéiss	59
1657	disorganise	désorganiser	disorganis	désorganis	90
1658	disparage	dénigrer	disparag	dénigr	43
1659	disparate	disparate	dispar	disparat	86
1660	dispassionate	impartial	dispassion	impartial	42
1661	dispensable	dispensable	dispens	dispens	100
1662	dispense	dispenser	dispens	dispens	100
1663	disperse	disperser	dispers	dispers	100
1664	dispersive	dispersif	dispers	dispers	100
1665	displace	déplacer	displac	déplac	77
1666	displayable	affichable	display	affich	15
1667	displease	mécontenter	displeas	mécontent	12
1668	displeasure	mécontentement	displeasur	mécontent	11
1669	disposable	jetable	dispos	jetabl	0
1670	dispose	disposer	dispos	dispos	100
1671	disproportionate	disproportionné	disproportion	disproportion	100
1672	disprovable	désagréable	disprov	désagré	43
1673	disprove	réfuter	disprov	réfut	17
1674	disputable	contestable	disput	contest	31
1675	dispute	contestation	disput	contest	31
1676	disquietude	inquiétude	disquietud	inquiétud	74
1677	disreputable	de mauvaise réputation	disreput	de mauvaise réput	56
1678	disrepute	déconsidération	disreput	déconsider	33
1679	disrobe	se dévêtir	disrob	se dévêt	14
1680	disruptive	perturbateur	disrupt	perturb	29
1681	dissemble	dissimuler	dissembl	dissimul	75
1682	disseminate	disséminer	dissemin	dissémin	88
1683	disservice	mauvais service	disservic	mauvais servic	70
1684	dissidence	dissidence	dissid	dissident	80
1685	dissipate	se dissiper	dissip	se dissip	80
1686	dissipative	dissipatif	dissip	dissip	100
1687	dissociate	dissocier	dissoci	dissoci	100
1688	dissociative	dissociatif	dissoci	dissoci	100
1689	dissolute	dissolu	dissolut	dissolu	93
1690	dissolve	dissoudre	dissolv	dissoudr	67
1691	dissonance	dissonance	disson	disson	100
1692	dissuade	dissuader	dissuad	dissuad	100
1693	distance	distance	distanc	distanc	100
1694	distaste	dégoût	distast	dégoût	31
1695	distillate	distillat	distil	distillat	80
1696	distinctive	distinctif	distinct	distinct	100
1697	distinguishable	distinguable	distinguish	distingu	84
1698	distributable	distribuable	distribut	distribu	94
1699	distribute	distribuer	distribut	distribu	94
1700	distributive	distributif	distribut	distribut	100
1701	disturbance	perturbation	disturb	perturb	57
1702	disulphide	disulfure	disulphid	disulfur	59
1703	disunite	désunir	disunit	désun	67
1704	disuse	désuétude	disus	désuétud	46
1705	disyllable	disyllable	disyl	disyll	91
1706	dive	plonger	dive	plong	0
1707	diverge	diverger	diverg	diverg	100
1708	divergence	divergence	diverg	divergent	80
1709	diverse	diverse	divers	divers	100
1710	divide	diviser	divid	divis	80
1711	divine	Divin	divin	divin	100
1712	divisible	divisible	divis	divisibl	77
1713	divisive	qui divise	divis	qui divis	71
1714	divorce	divorce	divorc	divorc	100
1715	divorcee	divorcée	divorce	divorc	92
1716	divulge	divulguer	divulg	divulgu	92
1717	docile	docile	docil	docil	100
1718	dockage	impuretés	dockag	impuret	0
1719	dockside	à quai	docksid	à quai	15
1720	doctorate	doctorat	doctor	doctorat	86
1721	doctrinaire	doctrinaire	doctrinair	doctrinair	100
1722	doctrine	doctrine	doctrin	doctrin	100
1723	dodge	esquiver	dodg	esquiv	0
1724	doe	biche	doe	bich	0
1725	doge	doge	doge	dog	86
1726	doglike	doglike	doglik	doglik	100
1727	dole	aumône	dole	aumôn	0
1728	dolerite	dolérite	dolerit	dolérit	86
1729	dolomite	dolomie	dolomit	dolom	83
1730	dome	dôme	dome	dôm	57
1731	domicile	domicile	domicil	domicil	100
1732	dominance	dominance	domin	domin	100
1733	dominate	dominer	domin	domin	100
1734	donate	faire un don	donat	faire un don	35
1735	done	Fini	done	fin	29
1736	doodle	griffonnage	doodl	griffonnag	13
1737	dopamine	dopamine	dopamin	dopamin	100
1738	dope	drogue	dope	drogu	44
1739	dormice	loir	dormic	loir	40
1740	dormouse	loir	dormous	loir	36
1741	dosage	dosage	dosag	dosag	100
1742	dose	dose	dose	dos	86
1743	dotage	gâtisme	dotag	gâtism	18
1744	dote	adorer	dote	ador	50
1745	double	double	doubl	doubl	100
1746	douche	douche	douch	douch	100
1747	douse	éteindre	dous	éteindr	18
1748	dove	Colombe	dove	colomb	20
1749	dovecote	colombier	dovecot	colombi	29
1750	downgrade	rétrograder	downgrad	rétrograd	59
1751	downpipe	tuyau de descente	downpip	tuyau de descent	17
1752	downside	inconvénient	downsid	inconvénient	32
1753	downsize	réduire la taille	downsiz	réduire la taill	17
1754	downstage	en bas	downstag	en bas	29
1755	dowse	parcourir	dows	parcour	18
1756	doyenne	doyenne	doyenn	doyen	91
1757	doze	sommeiller	doze	sommeil	36
1758	dracone	dracone	dracon	dracon	100
1759	draftee	recrue	drafte	recru	36
1760	drainage	drainage	drainag	drainag	100
1761	drainpipe	tuyau de vidange	drainpip	tuyau de vidang	26
1762	drake	canard	drake	canard	18
1763	dramatise	dramatiser	dramatis	dramatis	100
1764	drape	draper	drape	drap	89
1765	drawable	dessinable	drawabl	dessin	15
1766	drawbridge	pont-levis	drawbridg	pont-lev	0
1767	dreamlike	onirique	dreamlik	onir	17
1768	dredge	drague	dredg	dragu	60
1769	dressage	dressage	dressag	dressag	100
1770	dribble	dribble	dribbl	dribbl	100
1771	drinkable	potable	drinkabl	potabl	43
1772	drivable	pilotable	drivabl	pilot	33
1773	drive	conduire	drive	conduir	33
1774	drizzle	bruine	drizzl	bruin	36
1775	drone	drone	drone	dron	89
1776	drove	a conduit	drove	a conduit	14
1777	drowse	somnoler	drows	somnol	18
1778	drudge	peiner	drudg	pein	0
1779	drystone	pierre sèche	dryston	pierre sech	22
1780	duce	duce	duce	duc	86
1781	ductile	ductile	ductil	ductil	100
1782	dude	mon gars	dude	mon gar	0
1783	due	payable	due	payabl	0
1784	duke	Duc	duke	duc	57
1785	dunce	cancre	dunc	cancr	44
1786	dune	dune	dune	dun	86
1787	dungbeetle	bousier	dungbeetl	bousi	14
1788	duologue	duologue	duologu	duologu	100
1789	dupe	dupe	dupe	dup	86
1790	duplicate	dupliquer	duplic	dupliqu	77
1791	durable	durable	durabl	durabl	100
1792	durance	durance	duranc	duranc	100
1793	dutyfree	sans taxe	dutyfre	sans tax	13
1794	dwindle	diminuer	dwindl	diminu	50
1795	dye	colorant	dye	color	0
1796	dyke	digue	dyke	digu	25
1797	dynamite	dynamiter	dynamit	dynamit	100
1798	dyne	dyne	dyne	dyn	86
1799	eagle	Aigle	eagl	aigl	75
1800	earache	mal d'oreille	earach	mal d'oreil	12
1801	earlobe	lobe de l'oreille	earlob	lobe de l'oreil	29
1802	earphone	écouteur	earphon	écouteur	27
1803	earpiece	écouteur	earpiec	écouteur	27
1804	earthenware	faïence	earthenwar	faïenc	38
1805	earthquake	tremblement de terre	earthquak	tremblement de terr	14
1806	ease	facilité	eas	facil	25
1807	eatable	mangeable	eatabl	mangeabl	57
1808	eatage	manger	eatag	mang	44
1809	ebbtide	ebbtide	ebbtid	ebbtid	100
1810	ebullience	exubérance	ebulli	exuber	33
1811	eclipse	éclipse	eclips	éclips	83
1812	economise	économiser	economis	économis	88
1813	edge	bord	edg	bord	29
1814	edgewise	de côté de	edgewis	de côte d	25
1815	edible	comestible	edibl	comestibl	57
1816	edifice	édifice	edific	édific	83
1817	editable	modifiable	edit	modifi	40
1818	educate	éduquer	educ	éduqu	44
1819	educative	éducatif	educ	éduc	75
1820	eerie	sinistre	eeri	sinistr	18
1821	efface	effacer	effac	effac	100
1822	effective	efficace	effect	efficac	62
1823	effeminate	efféminé	effemin	effémin	86
1824	effervescence	effervescence	effervesc	effervescent	86
1825	effete	effacer	effet	effac	60
1826	effulgence	rayonnement	effulg	rayon	0
1827	effusive	expansif	effus	expans	36
1828	eigenstate	état propre	eigenst	état propr	12
1829	eigenvalue	valeur propre	eigenvalu	valeur propr	38
1830	eightpence	huit pence	eightpenc	huit penc	67
1831	eire	eire	eir	eir	100
1832	eke	eke	eke	eke	100
1833	elaborate	élaborer	elabor	élabor	83
1834	elapse	s'écouler	elaps	s'écoul	17
1835	elate	exalter	elat	exalt	67
1836	elbe	Elbe	elb	elbe	86
1837	electable	éligible	elect	éligibl	17
1838	elective	électif	elect	élect	80
1839	electorate	électorat	elector	électorat	75
1840	electrocute	électrocuter	electrocut	électrocut	90
1841	electrode	électrode	electrod	électrod	88
1842	electrolyse	électrolyser	electrolys	électrolys	90
1843	electrolyte	électrolyte	electrolyt	électrolyt	90
1844	electromotive	électromoteur	electromot	électromoteur	78
1845	electronegative	électronégatif	electroneg	électroneg	90
1846	elegance	élégance	eleg	éleg	75
1847	elephantine	éléphantesque	elephantin	éléphantesqu	55
1848	elevate	élever	elev	élev	75
1849	elflike	elflike	elflik	elflik	100
1850	elide	élider	elid	élid	75
1851	eligible	éligible	elig	éligibl	55
1852	eliminate	éliminer	elimin	élimin	83
1853	elite	élite	elit	élit	75
1854	ellipse	ellipse	ellips	ellips	100
1855	elongate	allongé	elong	allong	73
1856	elope	s'enfuir	elop	s'enfuir	17
1857	eloquence	éloquence	eloqu	éloquent	62
1858	else	autre	els	autr	0
1859	elsewhere	ailleurs	elsewher	ailleur	27
1860	elucidate	élucider	elucid	élucid	83
1861	elude	éluder	elud	élud	75
1862	elusive	insaisissable	elus	insaisiss	15
1863	elysee	Élysée	elyse	élys	67
1864	emaciate	émacié	emaci	émaci	80
1865	emanate	émaner	eman	éman	75
1866	emancipate	émanciper	emancip	émancip	86
1867	emasculate	émasculer	emascul	émascul	86
1868	embattle	embêter	embattl	embêt	67
1869	embeddable	intégrable	embedd	integr	17
1870	embezzle	détourner	embezzl	détourn	0
1871	embrace	embrasser	embrac	embrass	77
1872	embrasure	embrasure	embrasur	embrasur	100
1873	emerge	émerger	emerg	émerg	80
1874	emergence	émergence	emerg	émergent	62
1875	emigrate	émigrer	emigr	émigr	80
1876	emigre	émigré	emigr	émigr	80
1877	eminence	éminence	emin	éminent	55
1878	emirate	émirat	emir	émirat	60
1879	emotive	sensible	emot	sensibl	18
1880	empathise	faire preuve d'empathie	empathis	faire preuve d'empath	41
1881	emphasise	souligner	emphasis	soulign	27
1882	empire	Empire	empir	empir	100
1883	employable	employable	employ	emploi	83
1884	employee	employé	employe	emploi	77
1885	emulate	imiter	emul	imit	25
1886	enable	permettre	enabl	permettr	15
1887	encage	encager	encag	encag	100
1888	encapsulate	encapsuler	encapsul	encapsul	100
1889	encase	enfermer	encas	enferm	36
1890	encircle	encercler	encircl	encercl	86
1891	enclave	enclave	enclav	enclav	100
1892	enclose	joindre	enclos	joindr	17
1893	enclosure	enceinte	enclosur	enceint	40
1894	encode	encoder	encod	encod	100
1895	encore	bis	encor	bis	0
1896	encourage	encourager	encourag	encourag	100
1897	encumbrance	encombrement	encumbr	encombr	86
1898	endgame	fin du jeu	endgam	fin du jeu	12
1899	endive	endive	endiv	endiv	100
1900	endocrine	endocrine	endocrin	endocrin	100
1901	endorse	endosser	endors	endoss	83
1902	endoscope	endoscope	endoscop	endoscop	100
1903	endurable	supportable	endur	support	33
1904	endurance	endurance	endur	endur	100
1905	endure	supporter	endur	support	33
1906	energise	Energise	energis	energis	100
1907	enervate	amollir	enerv	amoll	0
1908	enfeeble	affaibli	enfeebl	affaibl	43
1909	enforce	imposer	enforc	impos	18
1910	enforceable	exécutoire	enforc	exécutoir	40
1911	enfranchise	affranchir	enfranchis	affranch	67
1912	engage	engager	engag	engag	100
1913	engarde	engarde	engard	engard	100
1914	engine	moteur	engin	moteur	18
1915	engorge	engorger	engorg	engorg	100
1916	engrave	graver	engrav	grav	80
1917	enhance	améliorer	enhanc	amélior	15
1918	enhanceable	améliorable	enhanc	amélior	15
1919	enjoyable	agréable	enjoy	agréabl	0
1920	enlace	enlace	enlac	enlac	100
1921	enlarge	agrandir	enlarg	agrand	17
1922	enmasse	enmasse	enmass	enmass	100
1923	ennoble	ennoblir	ennobl	ennobl	100
1924	enquire	renseigner	enquir	renseign	43
1925	enrage	enrager	enrag	enrag	100
1926	enrobe	enrobe	enrob	enrob	100
1927	enroute	en route	enrout	en rout	92
1928	ensconce	enfoncer	ensconc	enfonc	77
1929	ensemble	ensemble	ensembl	ensembl	100
1930	enshrine	enchâsser	enshrin	enchâss	43
1931	enslave	asservir	enslav	asserv	33
1932	ensnare	piéger	ensnar	pieg	20
1933	ensue	résulter	ensu	résult	40
1934	ensure	assurer	ensur	assur	60
1935	entablature	entablement	entablatur	entabl	75
1936	entangle	emmêler	entangl	emmêl	33
1937	entente	entente	entent	entent	100
1938	enterprise	entreprise	enterpris	entrepris	89
1939	enthrone	introniser	enthron	intronis	67
1940	enthuse	enthousiasmer	enthus	enthousiasm	71
1941	entice	attirer	entic	attir	40
1942	entire	tout	entir	tout	22
1943	entitle	donner droit	entitl	donner droit	33
1944	entourage	entourage	entourag	entourag	100
1945	entrance	entrée	entranc	entré	67
1946	entree	entrée	entre	entré	80
1947	entwine	enlacer	entwin	enlac	36
1948	enumerable	énumérable	enumer	énumer	83
1949	enumerate	énumérer	enumer	énumer	83
1950	enunciate	énoncer	enunci	énonc	55
1951	envelope	enveloppe	envelop	envelopp	93
1952	enviable	enviable	enviabl	enviabl	100
1953	envisage	envisager	envisag	envisag	100
1954	enzyme	enzyme	enzym	enzym	100
1955	epicentre	épicentre	epicentr	épicentr	88
1956	epicure	gourmet	epicur	gourmet	31
1957	epilogue	épilogue	epilogu	épilogu	86
1958	epinephrine	épinéphrine	epinephrin	épinéphrin	80
1959	episcopate	épiscopat	episcop	épiscopat	75
1960	episode	épisode	episod	épisod	83
1961	epistle	épître	epistl	épîtr	36
1962	epitome	exemple	epitom	exempl	33
1963	epitomise	incarner	epitomis	incarn	14
1964	equable	égal	equabl	égal	40
1965	equalise	égaliser	equalis	égalis	62
1966	equate	assimiler	equat	assimil	17
1967	equine	équidé	equin	équid	60
1968	equitable	équitable	equit	équit	80
1969	equivalence	équivalence	equival	équivalent	71
1970	eradicate	éradiquer	erad	éradiqu	55
1971	erasable	effaçable	eras	effac	44
1972	erase	effacer	eras	effac	44
1973	erasure	effacement	erasur	effac	36
1974	ere	avant	ere	avant	0
1975	erectile	érectile	erectil	érectil	86
1976	ermine	hermine	ermin	hermin	91
1977	erode	éroder	erod	érod	75
1978	erose	érose	eros	éros	75
1979	erosive	érosif	eros	éros	75
1980	erstwhile	autrefois	erstwhil	autrefois	24
1981	erudite	érudit	erudit	érud	60
1982	eruptive	éruptif	erupt	érupt	80
1983	escalade	escalade	escalad	escalad	100
1984	escalate	intensifier	escal	intensifi	29
1985	escapade	escapade	escapad	escapad	100
1986	escape	s'échapper	escap	s'échapp	62
1987	escapee	évadé	escape	évad	20
1988	espionage	espionnage	espionag	espionnag	94
1989	esplanade	esplanade	esplanad	esplanad	100
1990	espouse	adopter	espous	adopt	18
1991	esquire	écuyer	esquir	écui	40
1992	essence	essence	essenc	essenc	100
1993	estate	domaine	estat	domain	18
1994	esthete	esthète	esthet	esthet	100
1995	estimable	estimable	estim	estim	100
1996	estimate	estimation	estim	estim	100
1997	estuarine	estuarienne	estuarin	estuarien	94
1998	ethane	éthane	ethan	éthan	80
1999	ethylene	éthylène	ethylen	éthylen	86
2000	etiquette	étiquette	etiquett	étiquet	80
2001	eukaryote	eucaryote	eukaryot	eucaryot	88
2002	eulogise	faire l'éloge	eulogis	faire l'élog	42
2003	europe	L'Europe ?	europ	l'europe ?	67
2004	eurydice	eurydice	eurydic	eurydic	100
2005	evacuate	évacuer	evacu	évacu	80
2006	evacuee	évacué	evacue	évacu	73
2007	evadable	évitable	evad	évit	25
2008	evade	éluder	evad	élud	25
2009	evaluable	évaluable	evalu	évalu	80
2010	evaluate	évaluer	evalu	évalu	80
2011	evaluative	évaluatif	evalu	évalu	80
2012	evangelise	évangéliser	evangelis	évangélis	78
2013	evaporate	évaporer	evapor	évapor	83
2014	evasive	évasif	evas	évas	75
2015	eve	veille	eve	veil	57
2016	eventide	événement	eventid	éven	55
2017	evermore	toujours	evermor	toujour	14
2018	everyone	tout le monde	everyon	tout le mond	32
2019	everywhere	partout	everywher	partout	12
2020	evidence	preuve	evid	preuv	44
2021	evince	montrer	evinc	montr	20
2022	eviscerate	éviscérer	eviscer	éviscer	86
2023	evocative	évocateur	evoc	évoc	75
2024	evoke	évoquer	evok	évoqu	44
2025	evolute	évoluer	evolut	évolu	73
2026	evolve	évoluer	evolv	évolu	60
2027	ewe	brebis	ewe	breb	29
2028	exacerbate	exacerber	exacerb	exacerb	100
2029	exactitude	exactitude	exactitud	exactitud	100
2030	exaggerate	exagérer	exagger	exager	92
2031	examinable	examinable	examin	examin	100
2032	examine	examiner	examin	examin	100
2033	example	Exemple	exampl	exempl	83
2034	exasperate	exaspérer	exasper	exasper	100
2035	excavate	creuser	excav	creus	20
2036	excellence	excellence	excel	excellent	71
2037	exceptionable	exceptionnel	exception	exceptionnel	86
2038	excessive	excessif	excess	excess	100
2039	exchange	échange	exchang	échang	77
2040	exchangeable	échangeable	exchang	échange	71
2041	excise	exciser	excis	excis	100
2042	excitable	excitable	excit	excit	100
2043	excite	exciter	excit	excit	100
2044	exclude	exclure	exclud	exclur	83
2045	exclusive	exclusif	exclus	exclus	100
2046	excommunicate	excommunier	excommun	excommuni	94
2047	excrete	excréter	excret	excret	100
2048	excusable	excusable	excus	excus	100
2049	excuse	excuse	excus	excus	100
2050	executable	exécutable	execut	exécut	83
2051	execute	exécuter	execut	exécut	83
2052	executive	exécutif	execut	exécut	83
2053	exercisable	exerçable	exercis	exerc	83
2054	exercise	exercer	exercis	exerc	83
2055	exhale	exhaler	exhal	exhal	100
2056	exhaustible	non renouvelable	exhaust	non renouvel	21
2057	exhaustive	complet	exhaust	complet	29
2058	exhilarate	exaltant	exhilar	exalt	50
2059	exhume	exhumer	exhum	exhum	100
2060	exile	exilé	exil	exil	100
2061	existence	existence	exist	existent	77
2062	exocrine	exocrine	exocrin	exocrin	100
2063	exonerate	disculper	exoner	disculp	0
2064	exorcise	exorciser	exorcis	exorcis	100
2065	expandable	extensible	expand	extensibl	40
2066	expanse	étendue	expans	étendu	33
2067	expansible	expansible	expans	expansibl	80
2068	expansive	expansif	expans	expans	100
2069	expatriate	expatrié	expatri	expatri	100
2070	expectorate	expectorer	expector	expector	100
2071	expedience	opportunité	expedi	opportun	14
2072	expedite	accélérer	expedit	accéler	14
2073	expendable	consommable	expend	consomm	15
2074	expenditure	dépense	expenditur	dépens	38
2075	expense	frais	expens	frais	18
2076	expensive	coûteux	expens	coûteux	31
2077	experience	vivre	experi	vivr	20
2078	expertise	compétence	expertis	compétent	24
2079	expiate	expier	expiat	expi	80
2080	expire	expirer	expir	expir	100
2081	explainable	explicable	explain	explic	77
2082	expletive	explétif	explet	explet	100
2083	explicable	explicable	explic	explic	100
2084	explicate	expliquer	explic	expliqu	77
2085	explicative	explicatif	explic	expliqu	77
2086	explode	exploser	explod	explos	83
2087	exploitable	exploitable	exploit	exploit	100
2088	exploitative	exploiteur	exploit	exploiteur	82
2089	explorable	explorable	explor	explor	100
2090	explore	explorer	explor	explor	100
2091	explosive	explosif	explos	explos	100
2092	exportable	exportable	export	export	100
2093	expose	exposer	expos	expos	100
2094	expostulate	récriminer	expostul	récrimin	0
2095	exposure	exposition	exposur	exposit	71
2096	expressible	expressible	express	expressibl	82
2097	expressive	expressif	express	express	100
2098	expropriate	exproprier	expropri	expropri	100
2099	expunge	effacer	expung	effac	18
2100	expurgate	expurger	expurg	expurg	100
2101	exquisite	exquis	exquisit	exquis	86
2102	extendable	extensible	extend	extensibl	67
2103	extendible	extensible	extend	extensibl	67
2104	extensible	extensible	extens	extensibl	80
2105	extensive	extensif	extens	extens	100
2106	extenuate	atténuer	extenu	atténu	50
2107	exterminate	exterminer	extermin	extermin	100
2108	extirpate	extirper	extirp	extirp	100
2109	extortionate	exorbitant	extortion	exorbit	62
2110	extractable	extractible	extract	extractibl	82
2111	extractive	extractif	extract	extract	100
2112	extraditable	extradable	extradit	extrad	86
2113	extradite	extrader	extradit	extrad	86
2114	extrapolate	extrapoler	extrapol	extrapol	100
2115	extravagance	extravagance	extravag	extravag	100
2116	extreme	extrême	extrem	extrêm	83
2117	extricate	dégager	extric	dégag	0
2118	extrude	extruder	extrud	extrud	100
2119	exuberance	exubérance	exuber	exuber	100
2120	exudate	exsudat	exud	exsudat	73
2121	exude	exsuder	exud	exsud	89
2122	exwife	exwife	exwif	exwif	100
2123	eye	œil	eye	œil	0
2124	eyelike	des yeux	eyelik	des yeux	43
2125	eyepiece	oculaire	eyepiec	oculair	14
2126	eyesore	horreur	eyesor	horreur	31
2127	fable	fable	fabl	fabl	100
2128	fabricate	fabriquer	fabric	fabriqu	77
2129	facade	façade	facad	façad	80
2130	face	visage	face	visag	22
2131	faceplate	plaque frontale	facepl	plaque frontal	20
2132	facile	facile	facil	facil	100
2133	facilitate	faciliter	facilit	facilit	100
2134	facilitative	facilitateur	facilit	facilit	100
2135	facsimile	facsimilé	facsimil	facsimil	100
2136	factorisable	factorisable	factoris	factoris	100
2137	factorise	factoriser	factoris	factoris	100
2138	fade	disparaître	fade	disparaîtr	14
2139	failure	échec	failur	échec	0
2140	fairytale	Conte de fée	fairytal	conte de f	11
2141	fake	faux	fake	faux	50
2142	fallible	faillible	fallibl	faillibl	93
2143	false	faux	fals	faux	50
2144	falsifiable	falsifiable	falsifi	falsifi	100
2145	fame	notoriété	fame	notoriet	17
2146	familiarise	se familiariser	familiaris	se familiaris	87
2147	famine	famine	famin	famin	100
2148	fanciable	fantaisiste	fanciabl	fantais	53
2149	fanfare	fanfare	fanfar	fanfar	100
2150	farce	farce	farc	farc	100
2151	fare	tarif	fare	tarif	44
2152	farmhouse	ferme	farmhous	ferm	50
2153	fascinate	fasciner	fascin	fascin	100
2154	fashionable	à la mode	fashion	à la mod	27
2155	fate	sort	fate	sort	25
2156	fatigue	fatigue	fatigu	fatigu	100
2157	favourable	favorable	favour	favor	91
2158	favourite	favori	favourit	favor	77
2159	fearsome	redoutable	fearsom	redout	31
2160	feasible	réalisable	feasibl	réalis	31
2161	feature	fonctionnalité	featur	fonctionnal	24
2162	febrile	fébrile	febril	fébril	83
2163	federate	fédérer	feder	féder	80
2164	fee	frais	fee	frais	25
2165	feeble	faible	feebl	faibl	60
2166	feline	félin	felin	félin	80
2167	female	Femme	femal	femm	67
2168	feminine	féminin	feminin	féminin	86
2169	fence	clôture	fenc	clôtur	20
2170	ferrite	ferrite	ferrit	ferrit	100
2171	ferrule	virole	ferrul	virol	36
2172	fertile	fertile	fertil	fertil	100
2173	fertilise	fertiliser	fertilis	fertilis	100
2174	fescue	fétuque	fescu	fétuqu	36
2175	festive	de fête	festiv	de fêt	33
2176	fete	fête	fete	fêt	57
2177	fettle	forme	fettl	form	22
2178	fiance	fiancé	fianc	fianc	100
2179	fiancee	fiancée	fiance	fianc	91
2180	fibre	fibre	fibr	fibr	100
2181	fiche	fiche	fich	fich	100
2182	fickle	inconstant	fickl	inconst	33
2183	fictive	fictif	fictiv	fictif	83
2184	fiddle	violon	fiddl	violon	36
2185	fierce	féroce	fierc	féroc	60
2186	fife	fifre	fife	fifr	75
2187	figtree	figuier	figtre	figui	55
2188	figurative	figuratif	figur	figur	100
2189	figure	chiffre	figur	chiffr	36
2190	figurine	figurine	figurin	figurin	100
2191	file	déposer	file	dépos	0
2192	filigree	filigrane	filigre	filigran	80
2193	filtrate	filtrer	filtrat	filtr	83
2194	finale	final	final	final	100
2195	finalise	finaliser	finalis	finalis	100
2196	finance	la finance	financ	la fin	50
2197	findable	trouvable	findabl	trouvabl	40
2198	fine	bien	fine	bien	50
2199	finesse	délicatesse	finess	délicatess	50
2200	finetune	affiner	finetun	affin	50
2201	finite	fini	finit	fin	75
2202	fire	Feu	fire	feu	57
2203	fireplace	cheminée	fireplac	chemin	14
2204	fireside	coin du feu	firesid	coin du feu	22
2205	firmware	firmware	firmwar	firmwar	100
2206	fishlike	poisson	fishlik	poisson	29
2207	fishwife	poissonnière	fishwif	poissonni	38
2208	fissile	fissile	fissil	fissil	100
2209	fissure	fissure	fissur	fissur	100
2210	five	cinq	five	cinq	25
2211	fixable	réparable	fixabl	répar	18
2212	fixate	fixer	fixat	fix	75
2213	fixative	fixateur	fix	fixateur	55
2214	fixture	fixation	fixtur	fixat	73
2215	fizzle	pétiller	fizzl	pétill	36
2216	flagellate	flageller	flagel	flagel	100
2217	flagpole	mât de drapeau	flagpol	mât de drapeau	19
2218	flake	flocon	flake	flocon	36
2219	flamboyance	extravagance	flamboy	extravag	13
2220	flame	flamme	flame	flamm	80
2221	flammable	inflammable	flammabl	inflamm	67
2222	flange	bride	flang	brid	0
2223	flannelette	flanelle	flannelett	flanel	75
2224	flare	éclater	flare	éclat	40
2225	flatmate	coloc	flatmat	coloc	17
2226	flatulence	flatulence	flatul	flatulent	80
2227	fledge	envol	fledg	envol	20
2228	flee	fuir	flee	fuir	25
2229	fleece	toison	fleec	toison	0
2230	flexible	souple	flexibl	soupl	17
2231	flexile	flexible	flexil	flexibl	92
2232	flippable	flippable	flippabl	flippabl	100
2233	floe	banquise	floe	banquis	0
2234	floorspace	espace au sol	floorspac	espace au sol	36
2235	floozie	floozie	floozi	flooz	91
2236	florence	Florence	florenc	florenc	100
2237	flounce	volant	flounc	vol	22
2238	fluctuate	fluctuer	fluctuat	fluctu	86
2239	flue	cheminée	flue	chemin	20
2240	fluke	patte	fluke	patt	0
2241	fluoresce	fluorescent	fluoresc	fluorescent	84
2242	fluorescence	fluorescence	fluoresc	fluorescent	84
2243	fluoride	fluorure	fluorid	fluorur	71
2244	fluorine	fluor	fluorin	fluor	83
2245	flute	flûte	flute	flût	67
2246	foe	ennemi	foe	ennem	25
2247	foible	déjoué	foibl	déjou	20
2248	foliage	feuillage	foliag	feuillag	57
2249	foliate	foliaire	foliat	foliair	77
2250	folklore	folklore	folklor	folklor	100
2251	folktale	conte folklorique	folktal	conte folklor	50
2252	follicle	follicule	follicl	follicul	93
2253	followable	suivable	follow	suivabl	15
2254	fondle	caresser	fondl	caress	0
2255	fondue	fondue	fondu	fondu	100
2256	footage	métrage	footag	métrag	50
2257	footbridge	passerelle	footbridg	passerel	12
2258	footloose	libre de toute attache	footloos	libre de toute attach	14
2259	footnote	note de bas de page	footnot	note de bas de pag	24
2260	footplate	plaque de pied	footplat	plaque de pied	27
2261	footsie	footsie	footsi	foots	91
2262	footsore	aux pieds endoloris	footsor	aux pieds endolor	25
2263	forage	fourrage	forag	fourrag	83
2264	forbade	interdit	forbad	interd	33
2265	forbearance	abstention	forbear	abstent	29
2266	forbore	interdit	forbor	interd	17
2267	force	Obliger	forc	oblig	22
2268	forcible	forcé	forcibl	forc	73
2269	fore	avant	fore	avant	0
2270	foreclose	saisir	foreclos	sais	17
2271	foreclosure	forclusion	foreclosur	forclus	71
2272	foregone	abandonné	foregon	abandon	29
2273	foreknowledge	connaissance anticipée	foreknowledg	connaissance anticip	19
2274	forename	prénom	forenam	prénom	31
2275	foresee	prévoir	forese	prévoir	31
2276	foreseeable	prévisible	forese	prévisibl	27
2277	foreshore	estran	foreshor	estran	43
2278	foretaste	avant goût	foretast	avant goût	22
2279	forfeiture	confiscation	forfeitur	confisc	25
2280	forgave	pardonné	forgav	pardon	17
